,lat,long,name,addr,uri,reviews,num_reviews,loc_type,description,price,zone
2287,40.7997798,-73.9527135,1927 Cafe Bar Popularr,"19 St Nicholas Ave, New York, NY 10026, USA",No URL,Rating: 4.6,10580,Restaurant,"cafe, food",price level very cheap,Central Harlem
2288,40.799029999999995,-73.95222509999999,Mamas Chicken and Pizza,"21 Malcolm X Blvd, New York, NY 10026, USA",No URL,Rating: 4.1,1770,Restaurant,"fast food restaurant, restaurant, food",price level cheap,Central Harlem
2289,40.7963698,-73.9472158,Steak  Hoagies,"1657 Madison Ave # 1, New York, NY 10029, USA",https://steakhoagiestogo.com/,Rating: 3.8,65,Restaurant,"chinese restaurant, restaurant, food",price level moderate,East Harlem South
2290,40.7958807,-73.948059,Wimpys Restaurant and Pizzera,"1634 Madison Ave, New York, NY 10029, USA",No URL,Rating: 3.3,2166,Restaurant,"restaurant, food",price level cheap,East Harlem South
2291,40.7921428,-73.95232229999999,Cafe on the 5th,"E 103rd St, New York, NY 10029, USA",No URL,No rating,4478,Restaurant,"american restaurant, restaurant, food",price level very cheap,East Harlem South
2292,40.7991664,-73.9541903,Al,"141 W 110th St Suite 616, New York, NY 10026, USA",No URL,No rating,2341,Restaurant,"liquor store, french restaurant, car dealer, store, restaurant, food",price level very cheap,Central Harlem
2293,40.7915828,-73.9520605,Farmers Fridge,"Located in the main lobby, 5 E 102nd St, New York, NY 10029, USA",https://www.farmersfridge.com/,No rating,6344,Restaurant,"cafeteria, restaurant, food",price level very cheap,East Harlem South
2294,40.7992865,-73.9520257,Kingdome Fish Market,"29 Malcolm X Blvd, New York, NY 10026, USA",No URL,Rating: 4,2283,Restaurant,"restaurant, food",price level very cheap,Central Harlem
2295,40.792922999999995,-73.9514817,jadeoliveskitchen,"1234 5th Ave, New York, NY 10029, USA",No URL,No rating,8110,Restaurant,"restaurant, food",price level very cheap,East Harlem South
2296,40.7947646,-73.942666,Amor Cubano,"2018 3rd Ave, New York, NY 10029, USA",http://www.amorcubanonyc.com/,Rating: 4.4,4535,Restaurant,"restaurant, food",price level moderate,East Harlem South
